Source,Beer,Rating,Review
Popular,Breakfast Stout,4.54,"I poured a 12oz. bottle into a 20oz. weizen glass and have ended up with two fingers of beautiful, frothy, dark tan foam. It slowly recedes but does not disappear as advertised! Typical stout look, very dark, one could say black. There is very thick lacing left all the way down the glass as I consume this one.
The aroma is malt first, sweet chocolate, and a little of coffee.
The sip offers a bit of sweetness, then it is quickly covered with the roasted coffee bitter bite and a bit dry to the finish.
There is not an alcohol bite here, but this one is a belly warmer. This is very thick creamy stuff with very light carbonation.
Good stuff, I do not take much time between sips, this one keeps calling me back. Be careful, at 8.3ABV this bowl of oatmeal may sneak up on you!"
Popular,Breakfast Stout,4.5,"Yay!! Finally got a chance to taste this one.

Poured a blackish-brown color with a small head that quickly dissipates. The smell was of coffee and chocolate. The taste was of very strong coffee and chocolate, but mostly coffee. Definitely a good morning starter."
Popular,Breakfast Stout,4,"Moderately sized head when poured bottle to glass, dissipates but remains at lower levels for some time, creamy appearance and lots of lacing. Beer itself looks like black coffee, no light may be permitted to pass through. Coffee and chocolate present on nose, coffee more so. Sweet bready characterstics as well. In flavor the coffee is much stronger, almost overpowering but not too extreme. Finishes long and remains on lips. Nice and creamy feel, when swishing, movement of liquid is difficult to perceive, almost envelops the tongue. Pretty nice, wish I liked coffee."
Popular,Breakfast Stout,4.31,"Look: It pours black with a brown head. Head retention is very good.

Smell: The strong smell of coffee and chocolate dominates the aroma.

Taste: It has a dominant coffee taste with a decent deal of bitterness going down. There are roasted elements as well.

Feel: It has a full body and a good amount of bitterness in the finish.

Overall: This is a great coffee brew."
Popular,Breakfast Stout,4.49,"Drank early this morning, and wrote this on a napkin. Purchased as a single bottle from The Blue Door for $4.00. Poured into a nonic pint glass.

L - Motor oil brownish-black, with a fluffy and viscous two-finger khaki head. Lacing is excellent.
S - Reminds me of the coffee from Dynamite Roasting. Bittersweet chocolate. Roasted oat.
T - Matches nose, with a bit more complexity. Definite ethanol presence, but the flavor of it never comes through (a good thing). Super toasty. Bittersweet throughout. More coffee-heavy than chocolate-heavy.
F - Thick. Heavy. Full-bodied, with little carbonation (if any). A sipper.
O - Probably not the best idea to have this for breakfast. A prime example for an oatmeal stout. Definitely recommend trying this one, but I won't purchase one again (not too into heavy beers)."
Popular,Breakfast Stout,4.68,"Pours almost black with a thick cream colored head that diminishes with time but never disappears.

Aroma of rich coffee with a hint of dark chocolate.

The taste is coffee tempered with a splash of milk and sweetened with dark chocolate just enough to take the edge off on top of a bed of dark roasted grains.

Every sip is rich and full.

Overall, it's a great coffee stout - one of the best, the benchmark by which other coffee stouts are judged. It hits the perfect coffee / stout balance to highlight the coffee without making it taste like you're drinking black coffee and with a rich, dark stout as the base that holds up nicely to the coffee. Other coffee stouts often have too little coffee flavor, or sometimes too much, but this one nails the balance."
Popular,Breakfast Stout,4.68,"A little bit too sugary and carbonated for my tastes, but a world-class drink nonetheless. It will definitely be my go-to if I'm in the mood for a coffee/oatmeal-style beer."
Popular,Breakfast Stout,4.87,"I have chased KBS and CBS for a year now. If I had know how good this beer was, I would have been buying it up instead! Lower ABV, but all of the taste and feel of either of those. A little less complexity, but this is a great beer!"
Popular,Breakfast Stout,4.47,"12 oz bottle
Glass: snifter
Serving Temp: room temperature (approx 71 F)


Look: Black with huge 2.5-finger khaki head that pretty much fills out the snifter. The head dissipates slowly to leave a slight but consistent khaki coating. Lacing is all the way down the glass.

Smell: Dark-roasted Columbian coffee with a large dose of bittersweet chocolate.

Taste: Pretty much the same as it smells. Coffee. Lots of coffee. With notes of bittersweet chocolate and some earthy bitterness. The coffee and earthiness linger into the aftertaste. The alcohol is not noticed.

Feel: Creamy and smooth with medium body.

Overall: A fantastic stout that has been one of my favorites since I first had it back in 2013 or 2014. I try to keep a couple on hand at all times. This one is a bit more bitter than I remember, but that's likely because this is the freshest Breakfast Stout that I have had in a while. I have mostly been having them at 1+ years old. At that age, the chocolate takes center stage and the coffee is the supporting act."
Popular,Breakfast Stout,4.29,"A - Dark brown / black pour with bubbly, creamy, toffee colored lacing.

S - Big chocolate and coffee roast aroma along with some char.

T - Follows the nose to a ""T"". Coffee roast and chooclate char dominate this beer from start to finish along with some coffee bean and Espresso underneath. Ends with a lingering chocolate coffee char on the back side with some toast cocoa popping up at the very back end.

M - Big medium to full body with just a slight bit of thinness around the edges.

O - This beer continues to be fantastic, not sure what took me so long to review this after drinking it for years. (As I scratch my head.)"
Popular,Breakfast Stout,3.87,"L - June 2021 batch poured in January 2022 from a bottle into a standard pint glass at roughly 50- 55 degrees. 3/4ths of a finger light tan head. The beer is extremely dark and opaque. The head leaves a nice lacing that lasts for longer than most.

S - Disclaimer. I actively dislike coffee. (Yes, even the smell.) This beer hits with coffee up front, but I knew that going into it and wanted to try a well-regarded beer anyway. Then I get a dark bitter chocolate. There are some oats in there, and finally just a general roast smell.

T - Coffee is first, with some bitter dark chocolate next. I get a hint of a cola flavor. Interestingly enough, the coffee fades and the flavors just smooth out into each other. Then there's a small coffee finish. Absolutely not hoppy bitterness. The only bitter flavor is from the coffee/cocoa flavor. There is a little roastiness in the finish as well.

F - This is a medium feel, but a little thinner than expected from such a dark beer. Decent carbonation. Actually, there is a nice mild fizz in there. Exquisitely smooth.

O - Again, in all honestly, I don't like coffee one bit. The smell, the taste, all of it. But after the initial coffee hit, this was a great beer with balanced flavors. I don't see myself seeking this out in the future, but I'm glad I tried it, and I wouldn't hesitate to suggest it to any coffee-loving friends in the future."
Popular,90 Minute IPA,3.9,"Appearance: Pours a rich, golden reddish amber color, with a thick white foam head. Good retention and leaves behind some sticky lacing.

Aroma: Sweet bready malt and pine. A subtle touch of citric fruit.

Taste. A pronounced maltiness followed by hoppy layers of citrus and pine. Some bready biscuit notes. Malt backbone and a bitterness that starts half-way through, and rides all the way to the end. Finishes fairly clean.

Overall: This is one interesting, well balanced beer."
Popular,90 Minute IPA,4.35,"First review here goes.
Glassware used - Lagunitas pint glass
Appearance- pours an amber color with a 1 finger foam head.

Smells sweetly like of caramel and apples.

Taste- taste of malt and breadiness fades Into a minimally bitter finish."
Popular,90 Minute IPA,4.73,"Something they did with the hops and the malt... the BITTER is SWEET. Like, simultaneously. They are one.
Poured from can into my lucky pint glass and paired with cooked-from-frozen orange chicken.
Amber colored with 3-finger, long-lived foamy off-white head. Smells lemony-piney, reminds me of Murphy's Oil Soap... that's a compliment, I promise, I used to be a housekeeper. Precisely zero complaints on look, smell, or taste. I do wish the foam would cut it out a little so I wasn't getting half a mouthful of it every sip, but you can't win 'em all. It is very pretty, at least. Top notch IPA."
Popular,90 Minute IPA,2.6,"So bitter! Also, the color looks off and the bubbles are too small. I understand this is highly rated but it is not to my liking. Beer buyer beware!"
Popular,90 Minute IPA,4.17,"Look: Rich amber-red with a formidable eggshell head that erupts on the pour and holds as a pillow, slowly receding and leaving great lacing behind
Aroma: Pine needles and sap, grapefruit, fir needles, orange, raw hop cones, and some bready malt
Taste: Starts out with layers of pine and hop cones that pile on one another for prominence and followed by nice notes of freshly baked bread. Citrus fruits peek in once the conifer barrage settles down and mixes in before pine and fir return for the close
Mouthfeel: Full, medium-high carbonation, and a decently dry finish with zero hint of the ABV
Overall: This is good stuff and a classic. One of the first DIPA’s I had 15+ years ago and cool that they still make it and in stovepipe cans to boot. C-hops are prominent and the strong malt presence showcases this as an old-school DIPA, which I like. Tasty and fun to try again after many years"
Popular,90 Minute IPA,4.71,"Poured out as a copperish color with a foamy head that slowly subsides.
The smell is of malt plus a nice hoppy aroma.
The taste is that of malt, hops, and what you expect from an IPA - Imperial.
Definitely one that I will be getting again."
Popular,90 Minute IPA,4.23,"12 oz bottle from a 6 pack. Right fine IPA. Balanced bitter & malt. It’s got the look, the pungent aroma that non-IPA people hate, a nice long finish. Recycle. Repeat."
Popular,90 Minute IPA,4.35,"Looks and smells good. What matters most is taste and this is not a light weight, which it isn't supposed to be. Heavy on the malt would be only criticism. Almost prefer the 60 minute if only because I can drink two in succession and save some calories, which you can do with this 90, however two of these and that ends the session for me."
Popular,90 Minute IPA,4.26,"Large format 19oz. can with NOV 2022 stamped on the bottom.
This pours a beautiful, medium orange-amber color, gloriously clear with a tall head of off-white that peppered the glass with lace.
The aroma is less than I remember - more citrus than 20 years ago and less malt sweetness in the nose. Some caramel and grain notes are there but not the blast of scents this had when produced, in smaller, more lovingly made batches.
As it warms and I swirl, more floral hops come forward as well as some more grainy wort.
Flavor is much better than expected - not as rich and malty as I recall but firm in it's malt character if a bit less balanced.
Hop flavors from mid/constant boil seem less, this that when it first came out defined the term ""juicy"" for beer.
Mouthfeel is a bit thin but just fine for style and maybe the only improvement over the first few years when it was a bit on the heavy side.
Finish is mildly and pleasantly alcoholic complimented by lingering grassy hop flavors and bitterness.
This still has good balance and hop flavor w/out sacrificing malt character. Not bad for a big batch beer.
A previous reviewer said "" Old school goodness"". I couldn't agree more."
Popular,90 Minute IPA,4.51,"Amber, with good clarity. Head pours moderately thick (about a finger), and is an off-white eggshell color. Fade to a persistent cap with little lacing.

Aroma is initially malt. Thick, sugary barley. Floral hops, sweet pine, lime peel, then toffee. Going back in, I get grapefruit, pineapple, and mandarin oranges.

On the palate, it's thick, sweet malt. Toffee, caramel, sugar, dried fruit, and candied orange peel. Sweet piney resin. Lasting bitterness. This is about as close as you get to a barleywine without crossing over.

The taste and aroma continue to evolve as it warms. The malt becomes more prominent, but it always finishes with a pleasant piney bitterness. Overall, this is a delicious beer that is right up my alley. I love that orange hop flavor coupled with thick barley malt."
Popular,90 Minute IPA,3.58,"Clear orange amber brew is quite handsome in the tall goblet with abundant foam. Hugely hoppy and quite bitter, but not too unpleasant. Interesting dark roasted malty taste. Grapefruit and piney hops.

Distinctive woody taste. Just the thing to hop up some Blonde Ale I am stuck with. From the 19.325 oz can. A massive amount of this strong beer for a few bucks at a nondescript southern California liquor store. Dated AUG 2022, hopefully a ""drink by"" date."
Popular,90 Minute IPA,4.5,"Strong malt smell with some sweet chocolate. Taste is malt dominant with a mix of sweet chocolate, hops & some light citrus. This is a quality brew that tastes great!"
Popular,90 Minute IPA,4.29,"12oz can best by date June 2022 into a pint glass.
L: Pours almost crystal clear amber w/a 1"" pock marked creamy off white head w/decent retention to a creamy skin. Random lacing and some sticky sheeting.
S: Caramelized malts, grassy hops, orange zest, a hint of bread. It is pungent, fruity & floral.
T: Citrus zest, black tea, caramelized roasty malts, grapefruit, fruit cake, grassy hops, lemon drop candy, a suggestion of brown bread, moderate alcohol. It is somewhat tart w/pine resin in a med-long linger. Powerful malts, bold hops and is full flavored.
F: Sharp, firm & smooth med-heavy bodied mouth feel that is lightly sticky and almost thick. It has a rather drying finish.
O: A full flavored American Imperial IPA that truly delivers an enthusiastic and unrestrained dense punch of malts & hops. It's taste is BIG and it is excellent in it's style."
Popular,90 Minute IPA,4.41,"L - Poured from a 12 ounce can into a Dogfish Head IP Glass. Two finger off-white head. Pours golden and hazy. Decent lacing.

S - Bitter citrus and floral IPA scent

T - Taste is more complex than scent. Has some maltiness to balance the bitter floral and citrus. Very balanced for an IPA. Each taste goes back and forth between malt and hop.

F - Nice medium oily feel.

O - Top notch IPA. Drank the same night as 60 Min IPA. Both are wonderful beers that are definitely in my annual rotation. The 60 Minute is the IPA standard for me. This 90 Minute is a great premium version with more complexity."
Popular,90 Minute IPA,4.35,"Best by Jul 2022. Drinking feb 24 2022. Room temperature.

L: amber body, off white 2 finger head that becomes a ring. Good lacing.

S: mostly tropical fruit, some pine, a hint of malt.

T: a nice piney bitterness, grapefruit tartness, a touch of sweetness, and a bittersweet hoppy roasted malt finish.

F: a full viscous body, similar to a good barrel aged stout. Creamy and coats the tongue. Beautiful execution for a dipa.

O: an above average ipa in every aspect. The mouth feel was my favorite part, but there were no major weaknesses. Definitely a better ipa for malt centric beer lovers. Probably better options out there if you like pine sol flavored beer."
Popular,Two Hearted Ale,4.68,"One of our Michigan beers, this is a staple, every party store and gas station has it, I like IPAs, this is bitter, I like that, it stays on the tongue, I like that.....
If you like this, try Huma Lupa Licius by Shorts."
Popular,Two Hearted Ale,4.54,"American IPAs are rarely my first pick, but I think it's because I find myself wishing that every other American IPA was this one.
Gorgeous hazy amber color, and foams and laces beautifully- it's a very good looking beer. If it were a person I'd buy it a pint of itself. Smells piney. Actually drinking it does not disappoint. Flavor's got layers- good hops, pleasant little grapefruit and pine notes, all backed up by good malt. As for mouthfeel, it's good. I almost wish it was a little less carbonated, but would never suggest messing with the delicate balance of a beer so close to perfect. I'm a big fan."
Popular,Two Hearted Ale,4.17,"Look is dark orange/amber, smell is of candied orange, hop resin, slight pine. Taste is more of the candied orange and hop bitterness. Really solid IPA, definitely a unique taste on this one in regards to the soft orange taste, very west coast IPA."
Popular,Two Hearted Ale,4.3,"Pint can poured into a DuClaw Brewing pint glass at fridge temp.
Amber/gold color, slight haze, fantastic foam.
Using a distinct single hop (Centennial), Two Hearted Ale has a delicate orange blossom citrus aroma, assertive but well-balanced bitterness, and a lovely supporting crystal malt base.
Great everyday beer.
Goes well with anything."
Popular,Two Hearted Ale,5,"Age: 4 months from packaging.

Look: A Touch hazy, not crystal clear. Amber in color and beautiful head of lacey foam.

Smell: Malty hops. Pleasant.

Taste: The surprising malty background blew me away. I love a good malt but to see it shine in a IPA was kind of nuts. I enjoy the taste. The malt and hops are balanced well.

Feel: The lingering malt feel on the tongue is pleasent. There is not a bitter bite to it like you would expect, its there but not enough that you couldn't session this beauty.

Overall: I love it really. Its going in my rotation. What Ive found is that after some hazy beer, double IPA, etc, throwing this malty IPA in the mix just completes the circle. Its great. Thanks Bell's."
Popular,Two Hearted Ale,3.34,"Pours a hazy, deep yellow with very good carbonation and a light, airy head. Aroma is citrus and pine, with perhaps a very slight hint of grapefruit. Taste is light, largely bright, perfectly balanced between bitter and refreshing. The citrus comes through strongly, followed by pine."
Popular,Two Hearted Ale,3.59,"I’ll start by saying that I am NOT an IPA guy. I’ve tried a few but just cannot appreciate whatever is going on with that. However, I heard the hype on this and wanted to give it a short. My initial smell is heavy of pine and citrus with just a hint of malt. The flavor is the same. I get a pleasant pine taste and it reminds me of a chilly fall morning sitting in a tree stand waiting for a buck to walk by. The finish has a mild malt flavor and a medium dry finish. It’s not too bad and the only IPA I’ve been able to stomach. I bought a 6pack just for my own edification, in hopes of understanding the genre better."
Popular,Two Hearted Ale,4.9,"L: Hazy golden nectar with a small white head that dissipates into a film and a ring around the glass.
S: Yeast rolls, caramel, citrus fruit, pine resin, all the hallmarks of the best American IPAs.
T: Same as smell, but way more intense, as the bitterness is incredibly pronounced, as it should be with an IPA. Pine resin is popping out here.
F: Carbonation on the high side, but between that and the bitterness, the alcohol is very well masked. Medium heavy body.
O: Fantastic old-school IPA that isn't overly fruity or sweet. Highly recommend to everyone who wants a world-class IPA with no BS."
Popular,Two Hearted Ale,4.58,"Yummmm. this is a great IPA. The favors include an initial earthy taste, finished with grapefruit zest. I like this beer very much. I first had it in the Ann Arbor. So glad they sell is locally in MA. Even after 20 minutes, the taste and look remain."
Popular,Pliny The Elder,4.92,"Look: It pours golden and clear with a white head. Head retention is good.

Smell: It has strong grapefruit and citrus aromas with some floral elements. There are very low stone fruit elements with a touch of grainy sweetness.

Taste: It has strong grapefruit and citrus flavors with some floral elements. It is very fruity with some light berry notes.

Feel: It is smooth and incredibly hoppy and bitter without any sharp bitter notes.

Overall, this is a wonderfully easy drinking beer with plenty of flavors and aromas."
Popular,Pliny The Elder,5,"I can't pin anything down! I love this beer though. So many different flavor notes and aromas!

You could chug it, but why would you do that when you can enjoy the flavors?"
Popular,Pliny The Elder,4.14,"Pours a beautiful golden color with a thin sticky head with medium bubbles. Hard for me to get a sense of an aroma from this brew.

Tastes of bitter grapefruit, hops and orange zest.

Leaves sticky, layered lacing. Very hoppy going into the finish.

Overall great beer, not too heavy on anything, decent bitterness but not too overwhelming. I can definitely taste the hype."
Popular,Pliny The Elder,4.56,"Appearance: Pours a clear, golden color, medium carbonation. A silky, frothy foam head. Leaves behind sticky lacing.

Aroma: A sweet, pungent hoppy aroma. Fragrant floral, citric, piney, and some herbal notes present.


Taste: A good, complex flavor profile. Starts off with a balanced blend of citrus rind, pine resin and grapefruit, and then evolves into a notable lingering tangy bitterness in the middle with some tropical fruits. All the while, subtle malts in the background compliment the whole thing, keeping it in composition. The bitterness rides all the way through the somewhat boozy finish.

Overall: This is a unique brew to say the least. Layer after layer, the aroma and flavor complexity played a game of hockey with my senses."
Popular,Pliny The Elder,4.43,"Tasted on tap at Native Son Ale house in Rancho Cucamonga, CA.

L - Served in a clear plastic Solo cup due to the bar’s location inside a giant food court with outdoor patios. Light golden color with a touch of chill haze. Pure white head started out fluffy and a finger thick, but quickly faded to little more than a ring around the glass. Head may have been impeded by the plastic cup.

S - Again the cup may have lessened the impact of the nose, as it was hard for me to get much. Nice DIPA aromas of citrus and pine with some sweet, bready malt at a lower level. Not overly distinctive nose, but hits the right notes for the style.

T - Explosion of West Coast hops, with orange and grapefruit citrus notes, along with pine resin. Maybe a hint of pineapple. A light touch of bready malt that quickly fades in the surprisingly dry finish. The beer lacks enough malt to begin to balance against the hops, as I normally expect in the style.

F - Medium body and medium to high carbonation. Monstrous hops bitterness level that burns the citrus into your tongue. Alcohol heat is hard to pick out behind the hops burn. Very dry finish that leaves the hops aftertaste to linger.

O - I was very glad to finally try this beer after years of hype but not having any opportunities in Florida or in my travels. Is it a great beer? Certainly. Is it a world’s best, or an aging example? I won’t get into that debate. I can only say that, for my palate and preferences, this lacks in malt character to stand out as an Imperial IPA. To me it is more properly called an assertive West Coast IPA, and a great one, and I’ll leave it at that."
Popular,Pliny The Elder,5,"Wow, have seen some sub 4 reviews of Pliny....wawhat??!! This is by far one of the best beers out there. Regardless of your hoppy beer type preference being pale ale, IPA, or stout, this DIPA will knock your socks off both with its wonderful taste as well as its effect. Pop this beer open fresh (I have only had it bottled...not on tap or canned) outta a cold fridge and get your nose on it for some wonderfully floral and hoppy aromas. At 8% this DIPA is strong and one 17.5oz bottle will set most right requiring a brief 20 min interlude before standing up quickly/getting behind the wheel to hop to the next tasting room/bar. If I could keep a constant stock of Pliny the Elder available in my fridge I would, but alas it is a rare find down here in San Diego. Should have bought a case while I had the chance while at the high-end uber boujee Seaside Market in Cardiff-by-the-Sea. Maybe they have some left....hmmmm...I'll be back!"
Popular,Pliny The Elder,4.5,"Pliny is synonymous with California beer. Whether it be the Elder or the Younger, the name is a brand within itself. We found the Elder hanging around Lake Tahoe and gave him a go. The crisp, punchy, and herbaceous ale fills the glass with a heady aroma. It is an honest beer and sometimes that is all you need."
Popular,Pliny The Elder,4.74,"Had on tap. Looks slightly hazed gold color with 2 finger white head of soft foam. Head fell to a cap after a few minutes. Left some nice lacing in the glass. Smell was all hops. A lot of tropical and citrus fruit is in the aroma. Taste enters sweet with a healthy dose of grapefruit, orange, mango. Middle has a bit of pithy bitterness and more tropical flavors but its balanced by a nice malt backbone. Finish is balanced with a slight hint of alcohol. Feel is medium bodied, lower carbonation but enough to provide a solid base for the flavor. Overall, well worth the wait for this classic expression. The flavors were bold, bright, and expressive. The beer was well balanced even with the bold hop presence. I enjoyed this a lot."
