Source,Beer,Rating,Review
Worst,Miller Genuine Draft 64,1.88,"Been holding off reviewing this one because I was going back and forth on considering it a straight up light beer, which I rated it as. It is jut below poor and at the high end of terrible. It is extremely watery and flat tasting. If I were to rank it as a low calorie brew and solely as such, I would rank it at about 2.5. Halfway between poor and average"
Worst,Miller Genuine Draft 64,1.52,"Look - very pale/clear.

Smell - you ever smell a used beer can that you found on the ground when you were a kid? That's what this smells like.

Taste - fizzy and watery. It literally is reminiscent of tonic water or soda. Very carbonated.

Feel - worse than the taste or the smell is the feel. It's so bubbly and carbonated on your pallette it feels like a Sprite.

Overall - look, any beer that has it's caloric intake in it's name wasn't made to be good. If you're on a diet that restricts how many calories you consume this is a decent replacement for a regular light beer (Miller lite, Bud light, Coors light). The reviews of those beers will let you know you're just substituting terrible beers with a really watered down terrible beer though."
Worst,Miller Genuine Draft 64,2.36,"Had one at the golf course, and while it wasn't that great it was better than I thought it would be--good enough, I feel for a short review. So here's the review:

Pretty much indistinguishable from Miller Lite.

That's sort of impressive, considering its caloric lightness (which in beers such as Michelob Ultra and the other Miller 64 create a weird aroma that's like dirty socks). Grainy start, and a hoppy finish that is light but still discernibly hoppy. Totally drinkable."
Worst,Miller Genuine Draft 64,2.14,"Super straw yellow color, the usual mixture of a ton of a water and very little barley. Flimsy white head props up and hits the bricks right quick. Aroma of almost nothing.

Taste of almost nothing. Highly carbonated and watery. On the plus side, you can drink this and hydrate, without worrying about the water quality from some 3rd world shithole if you come across this abroad.

I guess there are no off flavors, so in terms of taste you can't dock it too hard, but mouth feel, jeez, its overly carbonated water that had some shitty beer spilled into it."
Worst,Miller Genuine Draft 64,1.92,"Bottle poured to pint glass very cold beer
Appearance: Light yellow, big white foam
Aroma: scent smell of malt, nothing else
Taste: not really great, watery
Mouth feel: very carbonated
Overall: good beer, repeat: no look for: no
drank:"
Worst,Miller Genuine Draft 64,1.28,"It's awful. I don't know why I'm even rating it. It can only be beat by Genesee Light, Milwaukee's Best Light, and Kirkland Signature Light. It's just bad."
Worst,Miller Genuine Draft 64,1.27,"This was like water in every aspect. MGD is already pretty sketchy. If I want a beer, then I'll have beer. If I want water, I'll have water. Palest straw color. No aroma. Barely any taste. Felt like water."
Worst,Miller Genuine Draft 64,1.77,"This CANQuest (tm) originally took place on 05-09-2010.

Another one that I CANnot believe that I have not reviewed previously. Anything in support of the CANQuest, I suppose.

First, let me say that when this first hit the market back in the late-1980's, I was a HUGE fan in its unleaded version. Regular was much better then its High Life counterpart and this beat Lite six ways to and on Sunday. After I toured the Miller plant in MKE for the first time, in 1992, I was hooked. Today? Let's see ...

From the outset, it had both similarities and contrasts with its leaded version (MGD). I got a nice couple of fingers of bone-white head with lousy retention. Samey-same. Color was a paler shade of golden-yellow with NE-quality clarity. Close to samey-same. Nose was still filled with adjuncts, especially corn, but not as prevalent. Pretty much samey-same. Mouthfeel was watery and there was not any real taste. It was so innocuous as to wonder why bother. Finish was mighty tasteless, stripped of any fabric of beer. Colored water. Feh. I might as well have had some water. At least my caloric intake was low. Sheesh.

This one's badge/patch may now be in jeopardy."
Worst,Miller Genuine Draft 64,1.77,"Picked this and a can of Bud Select 55 up at a gas station for .50 Cents a piece. Any time I find a beer I haven't had, Even an adjunct, at such a low price, I buy it. Diamonds in the rough do exist.

Look - Drank from the can so I wouldn't know.

Smell - Not much. Metallic and grainy.

Taste - Not THAT bad. Cereal grains and a touch of grape with a slightly bready finish.

Feel - Light watery body with flat carbonation.

Overall - Why bother."
Worst,Budweiser Select 55,1.06,"(This is an old review from 2005. I had it for the 99 cal Bud Select but it was this one)

As bad a brew as I've had from one of the major breweries....I thought this would be ""added"" flavor being it was ""select""...it is not....it has little flavor and what flavor it does have is nasty...it literally tastes like I took a glass of water...dropped an ounce of Bud Light into and mixed it up...this has no redeeming qualities. I'd take a host of light beer over this that have more flavor....the worst purchase I have made in many years...stick to regular Bud if you like AB Macros.."
Worst,Budweiser Select 55,1,"If Eberhard and Adolphus rolled out of their grave this would be the first beer they destroyed. It's been said before, but I'll say it again, ""If you're counting calories, drink water or switch to vodka."""
Worst,Budweiser Select 55,1.26,"It's thin, flavorless and odd smelling.
If you're that worried about carbs/calories, drink water, it tastes better.
Definitely not a beer lovers beer."
Worst,Budweiser Select 55,4.78,I like light beers and I’m watching calories. I realize a lot of people hated the taste but I was surprised that this tasted so good to me. Light and crisp and I didn’t feel guilty drinking a couple. I don’t drink a lot so this works for me ! It’s is hard to find bottles and just a 6 pack because it wasn’t popular. I only find it in 24 cans which doesn’t work for me. Bumper
Worst,Budweiser Select 55,2.1,"12oz bottle - review from notes

Just watered down bud lite, basically. 2.4% ABV makes me scratch my head in absolute bewilderment: Who in tarnation is this beer for? Near beer that isn't near beer

I just don't get it"
Worst,Budweiser Select 55,1.25,"Possibly the worst beer I have ever had. The look is light and not very frothy. The taste is sour and actually made me feel on the queasy side. With only 2.4 ABV meaning you would to drink twice as many to get to feeling good makes this beer an even poorer choice. Sure it s lower in carbs and calories but give me a break. I d rather drink NA beer because it tastes better.

Needless to say I will never buy this beer again. To call it a lager is a travesty."
Worst,Budweiser Select 55,5,"The beer has been unfairly rated and I wanted to clear things up. I’ve been on Keto for a long time now. This is a low carb beer. It’s extremely watery. Think...La Croix: Beer Flavored. However, if you like seltzer water, beer, and watching your calories and carbs...then this beer does it all. Allows you to kick em back during the game with your buddies and not have to get out the carb calculator.

Overall: highly recommended for those who are carb or calorie conscious. But yea, it’s not gonna blow your mind with its hoppy flavor. I’m just happy there IS an option out there like this!"
Worst,Budweiser Select 55,3.63,By no means do I think this is a great beer ore even a good beer. What I like about this beer is that you can drink a case of them easily and wake feeling like you didn't drink (speaking from personal experience). Some will love it but it wasn't anything special to me.
Worst,Budweiser Select 55,1.72,Think bud light that has been watered down. Straight piss water. Rain run off that has been filtered through old coins. Extremely light and most definitely crushable but honestly there’s not much to it.
Worst,Budweiser Select 55,2,"A decent example of a low calorie, low carb beer. Pours a pale yellow color with little head. Aroma is of malt and something vaguely off-putting. The taste is thin and watery, but it is a 55 calorie beer. Mouthfeel is light. With a clean, thin finish. Not a great beer, but it beats drinking water"
Worst,Budweiser Select 55,1.9,"For what it is, Its surprisingly good. It has a faint smell to it which isnt suprising. It dosent have a strong beer taste, but certainly not a bad taste especially for 55 calories. It could be improved a lot with addition of lime flavoring which could be achieved by adding a slice of lime. It's super crisp and has no bad taste or aftertaste. It's not a beer of beers by all means but its nice for a long session when your trying to watch your calories."
Worst,Budweiser Select 55,2.91,"(12 oz clear bottle, freshest before 04NOV19; purchased cold single... poured into 14 oz mug)

L: golden-amber liquid; fizzy white head on pour, immediately collapsed into thin collar... jerking the glass to and fro will leave a brief streak of lace, but it immediately slides away

S: faint honeyish malt syrup, little else - maybe some grain husk?

T: neutered lightly-baked flour product, carbonic bitter finish, odd lightly-sweetened cereal aftertaste... pretty damn bone dry, with a mild paper-bag essence on the palate

F: restrained sudsy sizzle; shapeless, tightly-drawn back-end to the body; vacuum-sucked out finish - rather notable overall tailoring of body and dryness

O: rather drained of flavor with an emaciated body; that noted, the overall taste isn't quite as 'watery' as a Natty Ice (1546)"
Worst,Budweiser Select 55,4.76,"I spend long days on the beach and this has everything I need/want (refreshing with good beer flavor) and nothing I don’t (high calories and alcohol).
Awesome beer!
Beer snobs will be haters...
Let them hate!"
Worst,Budweiser Select 55,2.21,"Here's a review of a beer had years ago. Tough to keep track of where your reviews went with so many online beer places these days (and difficult entities that overmod). Pours a similar color to that which you see in the clear bottle. Not a lot of grain here, gotta count those calories. Concentrated urine color, thin head eviscerates itself in the 1/8"" range. Barely discernable grain qualities in the nose. Lager yeast not there.

Taste is a highly carbonated light grain meets mineral water qualities. They didn't go hard, or even a below average amount with the hops. I'm sure they used some super high alpha acid no flavor kind. There is no there there. There aren't ""off flavors"" per se, but there is definitely a lacking of flavor. 2.4% almost makes you wonder 'what's the point'?

Nonetheless, the beer does seem to accomplish what it is going for. Ugh this is one of those double digit positive rate deviations for a beer I don't care for. Oh well."
