word,count
head,4445
beer,4379
taste,3902
light,2522
carbonation,2278
sweet,2034
aroma,2029
malt,1981
white,1862
finish,1856
pours,1839
lacing,1765
color,1744
flavor,1688
smell,1670
glass,1668
bottle,1626
body,1612
mouthfeel,1561
nice,1560
medium,1469
bit,1451
poured,1442
feel,1424
notes,1365
nose,1365
hops,1294
clear,1285
bitterness,1273
great,1253
dark,1245
smooth,1182
drink,1119
sweetness,1039
alcohol,986
dry,969
hop,968
bitter,967
golden,963
chocolate,946
beers,925
thin,918
tastes,874
flavors,869
slightly,863
pretty,860
black,853
brown,836
citrus,832
abv,831
smells,811
thick,802
yellow,796
style,795
caramel,787
bodied,773
lager,767
fruit,765
pale,761
coffee,752
ive,747
strong,739
slight,738
orange,718
ipa,705
malts,702
full,697
drinking,688
back,682
time,678
finger,672
corn,663
creamy,635
quickly,633
balanced,625
appearance,625
hint,624
big,618
retention,618
mouth,612
decent,605
high,594
oz,591
mild,586
amber,578
gold,576
malty,575
foam,575
aftertaste,573
crisp,566
stout,565
brew,565
vanilla,565
easy,564
definitely,562
moderate,559
lot,546
12,545
refreshing,543
clean,525
palate,513
hazy,507
pine,503
f,495
rich,490
pint,481
touch,469
balance,463
aromas,462
bread,459
deep,459
long,458
day,456
heavy,443
grapefruit,443
low,440
bourbon,439
floral,438
excellent,436
watery,434
front,432
fresh,430
years,428
roasted,424
leaves,421
straw,420
grain,419
small,410
carbonated,410
average,407
drinkable,407
solid,406
lots,405
fruity,404
expected,395
finishes,394
barrel,393
cheap,390
hoppy,389
water,384
find,383
cold,383
top,381
sip,380
earthy,379
bubbles,378
hints,373
id,372
fairly,370
sugar,370
yeast,370
character,368
love,368
oak,368
bright,367
soft,366
note,363
perfect,360
complex,354
tasting,354
lemon,349
hot,349
lace,349
probably,348
fine,344
review,341
amount,340
cap,330
faint,328
super,328
boozy,326
foamy,325
makes,323
make,320
worth,319
lingering,318
bready,317
pleasant,316
buy,311
side,310
apple,309
spice,308
ring,308
spicy,308
sour,306
grassy,305
american,304
adjunct,303
made,302
2,302
red,300
tongue,300
enjoy,298
hard,298
lightly,298
drank,294
leaving,293
give,293
price,291
kind,291
subtle,290
favorite,289
tart,287
grainy,287
away,287
bite,286
wine,284
12oz,284
left,282
sticky,281
real,279
date,278
fingers,278
delicious,275
classic,273
profile,271
stuff,271
fruits,270
tropical,268
fizzy,267
minimal,267
juice,264
enjoyable,263
beautiful,262
colour,262
colored,259
similar,259
ice,259
honey,255
feels,255
toffee,254
liquor,252
green,252
tulip,249
huge,249
fluffy,248
flavour,248
toasted,248
herbal,247
1,247
present,247
tap,245
tasty,243
quality,243
molasses,240
fades,240
nicely,239
fantastic,236
half,234
mango,232
presence,229
pineapple,229
canned,228
warms,228
served,227
5,227
syrup,226
pack,226
grains,226
metallic,224
piney,223
found,223
world,222
offwhite,222
bought,220
rating,220
wheat,218
interesting,215
copper,214
typical,214
frothy,213
forward,213
4,212
youre,212
standard,210
imperial,209
slowly,208
cherry,208
expect,208
belgian,208
point,207
opaque,207
inch,206
3,206
cinnamon,206
experience,205
version,205
purchased,205
cloudy,203
brewery,203
heat,203
ipas,202
different,202
dissipates,202
lighter,202
summer,201
juicy,201
bottled,200
dank,199
label,199
enjoyed,198
funk,198
lime,198
overly,197
amazing,196
tasted,196
lagers,195
surprisingly,194
vintage,192
absolutely,192
bud,192
pepper,191
ago,191
cocoa,191
crystal,189
banana,189
syrupy,189
put,187
local,186
warming,186
dense,186
worst,185
cans,185
highly,184
grass,183
6,183
warm,181
fridge,181
bland,180
extremely,180
booze,179
lingers,179
wonderful,179
short,178
liquid,177
roast,177
brewed,177
craft,177
middle,176
aged,176
mix,176
snifter,176
peach,176
macro,175
ml,175
coming,173
worse,172
ounce,172
recommend,171
plenty,170
especially,170
regular,169
complexity,168
wet,167
scent,167
noticeable,167
base,166
pick,165
roasty,164
brings,164
background,163
large,162
part,161
bubbly,161
store,161
straight,159
days,159
start,158
stouts,158
close,158
moderately,158
2021,157
things,156
single,156
sort,155
level,155
guess,154
cream,154
reminds,153
outstanding,152
year,152
barley,151
glad,150
remember,150
